No,Category,Seller ~ Barang,Terjual,Price,Omzet
5,perawatan-bayi,pusatgrosirecer~baby-bag-2in1-bisa-selempang-dan-ransel,652,55000,35860000
6,perawatan-bayi,hellokiky~kupluk-mj-baby-kupluk-bolak-balik,938,20000,18760000
7,perawatan-bayi,mithashop~kupluk-bolak-balik-mj,648,19000,12312000
8,perawatan-bayi,trijaya09~celana-lampin-clodi-murah-diapers-cuci-ulang,1800,12900,23220000
9,perawatan-bayi,mithashop~baby-moon-walker,475,33000,15675000
10,perawatan-bayi,sayangsikecil~cuci-gudang-celana-pop-bayi-baru-lahir,3900,3000,11700000
11,perawatan-bayi,hellokiky~popok-kain-cuci-ulang-clodi-celana-lampin-insert-penyerap-clothdiapers-pampers-modern-murah,1600,14000,22400000
12,perawatan-bayi,mithashop~cd-celana-dalam-hamil-agree-dari-mamabel,1500,10000,15000000
13,perawatan-bayi,sayangsikecil~popok-kain-double-lapis-handuk,3600,3000,10800000
14,perawatan-bayi,mithashop~botol-kaca-asi-100ml,4200,2000,8400000
15,perawatan-bayi,ramayanagrosir~bugslock-gelang-anti-nyamuk-versi-cina,2900,1500,4350000
16,perawatan-bayi,mithashop~potty-seat-with-handel-toilet-training-anak,258,55000,14190000
17,perawatan-bayi,kaktusonline~kupluk-mj,616,18500,11396000
18,perawatan-bayi,bestshopgrosir~baby-moon-walk-alat-bantu-jalan-bayi-balita-walk-o-long-perlengkapan,416,28750,11960000
19,perawatan-bayi,mithashop~carter-soft-book,356,36000,12816000
20,perawatan-bayi,rafatoys~apple-learning-quran-muslim,314,62500,19625000
21,perawatan-bayi,mithashop~gelang-rattle,378,16000,6048000
22,perawatan-bayi,mithashop~jumper-carters-5-in-1,261,75000,19575000
23,perawatan-bayi,rockstar-baby~singlet-jumper-lembut,1700,11500,19550000
24,perawatan-bayi,mithashop~washable-breast-pads-avent,271,33000,8943000
25,perawatan-bayi,mithashop~nursing-apron-cutebaby,263,50000,13150000
26,perawatan-bayi,mithashop~bra-menyusui-golden-nick,402,25000,10050000
27,perawatan-bayi,mithashop~pineapple-hat-topi-korea,380,36000,13680000
28,perawatan-bayi,mithashop~natur-breastmil-bags-kantung-asi,407,38000,15466000
29,perawatan-bayi,sayangsikecil~cuci-gudang-celana-panjang-bayi-tutup-kaki-newbornstok-terbatas,2300,3950,9085000
30,perawatan-bayi,moiandmoi~pompa-asi-manual-little-giant-little-giant-manual-breastpump,182,132000,24024000
1,laptop-aksesoris,dbestcompushop~meja-laptop-lipat-t-04,1900,105000,199500000
2,laptop-aksesoris,vinie-francisca~meja-laptop-e-table,1900,90000,171000000
3,laptop-aksesoris,quin~meja-laptop-2-cooling-pad,1200,99019,118822800
